store,cbsa,address,city,state,zip,lat,lon,ccia,capis,ogpMarketName,status
2873,"Detroit-Warren-Dearborn, MI",2001 W Maple Rd,Troy,MI,48084-7100,42.544286,-83.172576,,Other (Non-Proto),Detroit,Open
2874,"Albany-Schenectady-Troy, NY",200 Dutch Meadows Ln,Glenville,NY,12302-3519,42.841731,-73.944171,In-Lane,Seafood Internal High,Albany,Open
2875,"Oklahoma City, OK",6437 N. Macarthur Blvd,Warr Acres,OK,73132-6503,35.538043,-97.621071,,WNM Backroom,OKC North,Open
2876,"Oklahoma City, OK",1301 E 2nd St,Edmond,OK,73034-5320,35.654012,-97.463482,Customer Service Desk,NHM (Other),OKC North,Open
2877,"Oklahoma City, OK",11101 N Rockwell Ave,Oklahoma City,OK,73162-2724,35.582485,-97.639996,,Breakroom,OKC North,Open
2878,"Oklahoma City, OK",911 Sw 104th St,Oklahoma City,OK,73139-3009,35.364357,-97.531284,,WNM Backroom,OKC South,Open
2880,"Tulsa, OK",6606 E 81st St,Tulsa,OK,74133-4247,36.044933,-95.903222,,WNM Backroom,Tulsa,Open
2882,"Minneapolis-St. Paul-Bloomington, MN-WI",9451 Dunkirk Ln N,Maple Grove,MN,55311-5447,45.126132,-93.494275,,Centennial,Minneapolis South,Open
2883,"Dallas-Fort Worth-Arlington, TX",8801 Ohio Dr,Plano,TX,75024-2268,33.097222,-96.799636,,Seafood External,Dallas North,Open
2884,"Las Vegas-Henderson-Paradise, NV",8060 W Tropical Pkwy,Las Vegas,NV,89149-4528,36.271625,-115.271048,,Seafood External High,Las Vegas,Open
2886,"Los Angeles-Long Beach-Anaheim, CA",8500 Washington Blvd,Pico Rivera,CA,90660-3788,33.985053,-118.105072,Update Existing (Front),Stockroom Middle,Los Angeles,Open
2887,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC",125 Maryport Drive,Myrtle Beach,SC,29575-0000,33.632801,-78.961262,,NHM Front Wall Split,Myrtle Beach,Open
2888,"Lebanon, PA",100 No Londonderry Square,Palmyra,PA,17078-3904,40.322982,-76.562611,,Expansion (Full),Harrisburg,Open
2889,"Clinton, IA",2715 S 25th St,Clinton,IA,52732-7219,41.818652,-90.242685,,Rear Backroom,Cedar Falls-Waterloo,Open
2890,"Macon, GA",5955 Zebulon Rd,Macon,GA,31210-2030,32.882916,-83.760029,,Stockroom Middle,Warner Robins,Open
2891,"Odessa, TX",2450 Nw Loop 338,Odessa,TX,79763-3201,31.856501,-102.410527,,Other (Non-Proto),Midland/Odessa,Open
2892,"Denver-Aurora-Lakewood, CO",11101 S Parker Rd,Parker,CO,80134-4773,39.513865,-104.768331,,Seafood External,Denver South,Open
2893,"Coffeyville, KS",121 Peter Pan Rd,Independence,KS,67301-7307,37.222679,-95.743491,,Rear Corridor,Columbia MO,Open
2894,Remaining US,13164 Garrett Hwy,Oakland,MD,21550-1117,39.422278,-79.391102,,Combined Stockroom,Baltimore,Open
2910,"Salem, OH",2875 E State St,Salem,OH,44460-9303,40.899615,-80.817636,,Expansion (Full),West OH,Open
2911,"Syracuse, NY",3018 East Ave,Central Square,NY,13036-2615,43.291371,-76.127475,,Cart Storage,,Open
